Time, CellIndex, CellVscanning, CellVCutoffHigh, CellVmax, CellVmin, CellVCutoffLow, BalanceDelta, BalanceDeltaFromMinMax, HighestPackTemp, DischargeAmps, ISAcurrent, mtd1_output, TripByte,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1
Secs,nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu
0,   13,   3453,   4200,   3467,   3449,   3197,   18,   18,   21,   0,   32,   967,   1,   4,   9,   9,   9,   9,   9,   9,   9,   5,   3,   14,   9,   9,   20387,
.1,   19,   3461,   4200,   3470,   3453,   3195,   17,   17,   21,   0,   66,   967,   1,   0,  -66,  -66,  -66,  -66,  -66,   0,   0,  -28,   0,  -25,   0,   0,   11,
.2,   20,   3464,   4200,   3470,   3453,   3195,   16,   17,   20,   0,   39,   967,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.3,   21,   3461,   4200,   3470,   3453,   3195,   16,   17,   21,   0,   25,   967,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.4,   22,   3465,   4200,   3470,   3453,   3195,   17,   17,   21,   0,   47,   967,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.5,   23,   3466,   4200,   3470,   3453,   3195,   17,   17,   21,   0,   39,   967,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.6,   24,   3465,   4200,   3470,   3453,   3195,   16,   17,   21,   0,   33,   967,   1,  AC_Pump_Enable_SpdM_Bit0,  Acc_FF_Release_Rate_SpdM,  autouser5,  autouser49,  Acc_FF_Release_Rate_SpdM,  Interlock_Brake_Accel_Release_Rate_HS_SpdM,  Acc_FF_Release_Rate_SpdM,  Acc_FF_Release_Rate_SpdM,
.7,   24,   3465,   4200,   3470,   3453,   3195,   16,   17,   21,   0,   33,   967,   1,   0,   1,   1,   1,   1,   1,   0,   0,   1,   0,   1,   1,   0,
.8,   25,   3464,   4200,   3470,   3453,   3195,   17,   17,   21,   0,   42,   967,   1,   16711935,   16711680,   0,   65535,   255,   0,   255,   16777215,   33023,   65535,   16776960,   65280,   65535,
.9,   26,   3463,   4200,   3470,   3453,   3195,   17,   17,   21,   0,   54,   967,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
1,   27,   3463,   4200,   3470,   3453,   3195,   16,   17,   21,   0,   18,   967,   1
1.1,   0,   3463,   4200,   3470,   3453,   3195,   17,   17,   21,   0,   24,   967,   1
1.2,   1,   3470,   4200,   3470,   3453,   3195,   16,   17,   21,   0,   72,   967,   1
1.3,   1,   3470,   4200,   3470,   3453,   3195,   16,   17,   21,   0,   26,   967,   1
1.4,   2,   3467,   4200,   3470,   3453,   3195,   17,   17,   21,   0,   11,   967,   1
1.5,   3,   3463,   4200,   3470,   3453,   3195,   17,   17,   20,   0,   36,   967,   1
1.6,   4,   3467,   4200,   3470,   3453,   3195,   17,   17,   21,   0,   19,   967,   1
1.7,   5,   3467,   4200,   3470,   3453,   3195,   17,   17,   20,   0,   17,   967,   1
1.8,   5,   3467,   4200,   3470,   3453,   3195,   17,   17,   20,   0,   36,   967,   1
1.9,   6,   3459,   4200,   3470,   3453,   3195,   16,   17,   21,   0,   30,   967,   1
2,   7,   3460,   4200,   3470,   3453,   3195,   16,   17,   21,   0,   46,   967,   1
2.1,   8,   3456,   4200,   3470,   3453,   3195,   16,   17,   21,   0,   36,   967,   1
2.2,   9,   3460,   4200,   3470,   3453,   3195,   16,   17,   20,   0,   58,   967,   1
2.3,   10,   3465,   4200,   3470,   3453,   3195,   16,   17,   20,   0,   52,   967,   1
2.4,   10,   3465,   4200,   3470,   3453,   3195,   16,   17,   20,   0,   26,   967,   1
2.5,   11,   3453,   4200,   3470,   3453,   3195,   17,   17,   20,   0,   20,   967,   1
2.6,   12,   3459,   4200,   3470,   3453,   3195,   16,   17,   20,   0,   25,   967,   1
