Time, CellIndex, CellVscanning, CellVCutoffHigh, CellVmax, CellVmin, CellVCutoffLow, BalanceDelta, BalanceDeltaFromMinMax, HighestPackTemp, DischargeAmps, ISAcurrent, mtd1_output, TripByte,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1
Secs,nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu
0,   0,   0,   4200,   0,   0,   3196,   0,   0,   0,   0,   48,   0,   0,   4,   9,   9,   9,   9,   9,   9,   9,   5,   3,   14,   9,   9,   11503,
.1,   0,   0,   4200,   0,   0,   3196,   0,   0,   0,   0,   18,   0,   0,   0,  -66,  -66,  -66,  -66,  -66,   0,   0,  -28,   0,  -25,   0,   0,   10,
.2,   0,   0,   4200,   0,   0,   3196,   0,   0,   0,   0,   30,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.3,   0,   0,   4200,   0,   0,   3196,   0,   0,   0,   0,   30,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.4,   0,   0,   4200,   0,   0,   3196,   0,   0,   0,   0,   20,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.5,   0,   0,   4200,   0,   0,   3196,   0,   0,   0,   0,   42,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.6,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   52,   0,   0,  AC_Pump_Enable_SpdM_Bit0,  Acc_FF_Release_Rate_SpdM,  autouser5,  autouser49,  Acc_FF_Release_Rate_SpdM,  Interlock_Brake_Accel_Release_Rate_HS_SpdM,  Acc_FF_Release_Rate_SpdM,  Acc_FF_Release_Rate_SpdM,
.7,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   41,   0,   0,   0,   1,   1,   1,   1,   1,   0,   0,   1,   0,   1,   1,   0,
.8,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   62,   0,   0,   16711935,   16711680,   0,   65535,   255,   0,   255,   16777215,   33023,   65535,   16776960,   65280,   65535,
.9,   0,   0,   4200,   0,   0,   3196,   0,   0,   0,   0,   35,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
1,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   11,   0,   0
1.1,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   33,   0,   0
1.2,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   29,   0,   0
1.3,   0,   0,   4200,   0,   0,   3196,   0,   0,   0,   0,   39,   0,   0
1.4,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   36,   0,   0
1.5,   0,   0,   4200,   0,   0,   3196,   0,   0,   0,   0,   29,   0,   0
1.6,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   29,   0,   0
1.7,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   37,   0,   0
1.8,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   24,   0,   0
1.9,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   20,   0,   0
2,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   48,   0,   0
2.1,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   18,   0,   0
2.2,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   39,   0,   0
2.3,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   26,   0,   0
2.4,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   33,   0,   0
2.5,   0,   0,   4200,   0,   0,   3196,   0,   0,   0,   0,   40,   0,   0
2.6,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   17,   0,   0
2.7,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   48,   0,   0
2.8,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   19,   0,   0
2.9,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   27,   0,   0
3,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   30,   0,   0
3.1,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   29,   0,   0
3.2,   0,   0,   4200,   0,   0,   3196,   0,   0,   0,   0,   32,   0,   0
3.3,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   20,   0,   0
3.4,   0,   0,   4200,   0,   0,   3196,   0,   0,   0,   0,   29,   0,   0
3.5,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   45,   0,   0
3.6,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   33,   0,   0
3.7,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   30,   0,   0
3.8,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   27,   0,   0
3.9,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   35,   0,   0
4,   0,   0,   4200,   0,   0,   3195,   0,   0,   0,   0,   43,   0,   0
