Time, CellIndex, CellVscanning, CellVCutoffHigh, CellVmax, CellVmin, CellVCutoffLow, BalanceDelta, BalanceDeltaFromMinMax, HighestPackTemp, DischargeAmps, ISAcurrent, mtd1_output, ISAwattHours, ISAampSeconds, ISAcAh,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1
Secs,nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu
0,   21,   4109,   4200,   4157,   4118,   3205,   38,   39,   26,  -6,   6695,   1149,   1,   53,   0,   4,   9,   9,   9,   9,   9,   9,   9,   5,   3,   14,   9,   9,   9,   9,   4301,
.1,   22,   4110,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   6664,   1149,   1,   53,   0,   0,  -66,  -66,  -66,  -66,  -66,   0,   0,  -28,   0,  -25,   0,   0,   0,   0,   11,
.2,   23,   4106,   4200,   4157,   4118,   3205,   37,   39,   26,  -7,   6661,   1149,   1,   54,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.3,   24,   4101,   4200,   4157,   4118,   3205,   38,   39,   26,  -6,   6675,   1149,   1,   55,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.4,   24,   4101,   4200,   4157,   4118,   3205,   38,   39,   26,  -6,   6676,   1149,   1,   55,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.5,   25,   4105,   4200,   4157,   4118,   3205,   39,   39,   26,  -7,   6700,   1149,   1,   56,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.6,   26,   4109,   4200,   4157,   4118,   3205,   38,   39,   26,  -6,   6679,   1149,   1,   57,   0,  zTest0,  Acc_FF_Release_Rate_SpdM,  autouser5,  autouser49,  Acc_FF_Release_Rate_SpdM,  Interlock_Brake_Accel_Release_Rate_HS_SpdM,  Acc_FF_Release_Rate_SpdM,  Acc_FF_Release_Rate_SpdM,
.7,   27,   4100,   4200,   4157,   4118,   3205,   37,   39,   26,  -6,   6677,   1149,   1,   57,   0,   0,   1,   1,   1,   1,   1,   0,   0,   1,   0,   1,   1,   0,   0,   1,
.8,   0,   4107,   4200,   4157,   4118,   3205,   39,   39,   26,  -6,   6660,   1149,   1,   58,   0,   16711935,   16711680,   0,   65535,   255,   0,   255,   16777215,   33023,   65535,   16776960,   65280,   65535,   16777215,   16711808,
.9,   1,   4116,   4200,   4157,   4118,   3205,   39,   39,   26,  -6,   6673,   1149,   1,   59,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
1,   1,   4116,   4200,   4157,   4118,   3205,   39,   39,   26,  -6,   6703,   1149,   1,   59,   0
1.1,   2,   4122,   4200,   4157,   4118,   3205,   39,   39,   26,  -6,   6699,   1149,   1,   60,   0
1.2,   3,   4116,   4200,   4157,   4118,   3205,   38,   39,   26,  -6,   6700,   1149,   1,   61,   0
1.3,   4,   4120,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   6683,   1149,   1,   61,   0
1.4,   5,   4117,   4200,   4157,   4118,   3205,   38,   39,   26,  -6,   6693,   1149,   1,   62,   0
1.5,   6,   4107,   4200,   4157,   4118,   3205,   38,   39,   26,  -6,   6679,   1149,   2,   63,   0
1.6,   7,   4097,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   6672,   1149,   2,   64,   0
1.7,   7,   4097,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   6680,   1149,   2,   64,   0
1.8,   8,   4099,   4200,   4157,   4118,   3205,   37,   39,   26,  -7,   6682,   1149,   2,   65,   0
1.9,   9,   4104,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   6680,   1149,   2,   66,   0
2,   10,   4099,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   6679,   1149,   2,   66,   0
2.1,   11,   4105,   4200,   4157,   4118,   3205,   38,   39,   26,  -6,   6685,   1149,   2,   67,   0
2.2,   12,   4135,   4200,   4157,   4118,   3205,   38,   39,   26,  -6,   6694,   1149,   2,   68,   0
2.3,   12,   4135,   4200,   4157,   4118,   3205,   38,   39,   26,  -6,   6695,   1149,   2,   68,   0
2.4,   13,   4125,   4200,   4157,   4118,   3205,   38,   39,   26,  -6,   6680,   1149,   2,   69,   0
2.5,   14,   4124,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   6682,   1149,   2,   70,   0
2.6,   15,   4118,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   6699,   1149,   2,   70,   0
2.7,   16,   4128,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   6689,   1149,   2,   71,   0
2.8,   17,   4123,   4200,   4157,   4118,   3205,   38,   39,   26,  -6,   6697,   1149,   2,   72,   0
2.9,   17,   4123,   4200,   4157,   4118,   3205,   38,   39,   26,  -6,   6676,   1149,   2,   72,   0
3,   18,   4109,   4200,   4157,   4118,   3205,   38,   39,   26,  -6,   6683,   1149,   2,   73,   0
3.1,   19,   4107,   4200,   4157,   4118,   3205,   38,   39,   26,  -6,   6691,   1149,   2,   74,   0
3.2,   20,   4103,   4200,   4157,   4118,   3205,   38,   39,   26,  -6,   6701,   1149,   2,   74,   0
3.3,   21,   4108,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   6730,   1149,   2,   75,   0
3.4,   22,   4109,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   6730,   1149,   2,   76,   0
3.5,   22,   4109,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   6741,   1149,   2,   76,   0
3.6,   23,   4104,   4200,   4157,   4118,   3205,   39,   39,   26,  -6,   6712,   1149,   2,   77,   0
3.7,   24,   4098,   4200,   4157,   4118,   3205,   39,   39,   26,  -7,   6724,   1149,   2,   78,   0
3.8,   25,   4103,   4200,   4157,   4118,   3205,   39,   39,   26,  -7,   6727,   1149,   2,   78,   0
3.9,   26,   4108,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   6730,   1149,   2,   79,   0
4,   27,   4098,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   6718,   1149,   2,   80,   0
4.1,   27,   4098,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   6708,   1149,   2,   80,   0
4.2,   0,   4106,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   6734,   1149,   2,   81,   0
4.3,   1,   4114,   4200,   4157,   4118,   3205,   37,   39,   26,  -7,   6827,   1149,   2,   82,   0
4.4,   2,   4120,   4200,   4157,   4118,   3205,   37,   39,   26,  -7,   7109,   1149,   2,   82,   0
4.5,   3,   4113,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   7143,   1149,   2,   83,   0
4.6,   4,   4118,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   7139,   1149,   2,   84,   0
4.7,   4,   4118,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   7129,   1149,   2,   84,   0
4.8,   5,   4115,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   7131,   1149,   2,   85,   0
4.9,   6,   4104,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   7120,   1149,   2,   86,   0
5,   7,   4095,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   7165,   1149,   2,   86,   0
5.1,   8,   4096,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   7108,   1149,   2,   87,   0
5.2,   8,   4096,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   7446,   1149,   2,   88,   0
5.3,   9,   4101,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   7426,   1149,   2,   89,   0
5.4,   10,   4096,   4200,   4157,   4118,   3205,   39,   39,   26,  -7,   7452,   1149,   2,   90,   0
5.5,   11,   4102,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   7449,   1149,   2,   90,   0
5.6,   12,   4132,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   7449,   1149,   2,   91,   0
5.7,   13,   4123,   4200,   4157,   4118,   3205,   39,   39,   26,  -7,   7333,   1149,   2,   92,   0
5.8,   13,   4123,   4200,   4157,   4118,   3205,   39,   39,   26,  -7,   7349,   1149,   2,   93,   0
5.9,   14,   4121,   4200,   4157,   4118,   3205,   38,   39,   26,  -6,   7456,   1149,   2,   93,   0
6,   15,   4115,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   7416,   1149,   3,   94,   0
6.1,   16,   4123,   4200,   4157,   4118,   3205,   37,   39,   26,  -7,   7427,   1149,   3,   95,   0
6.2,   17,   4117,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   7579,   1149,   3,   95,   0
6.3,   18,   4106,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   7686,   1149,   3,   96,   0
6.4,   19,   4104,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   7744,   1149,   3,   97,   0
6.5,   19,   4104,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   7730,   1149,   3,   98,   0
6.6,   20,   4099,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   7758,   1149,   3,   99,   0
6.7,   21,   4104,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   7738,   1149,   3,   100,   0
6.8,   22,   4105,   4200,   4157,   4118,   3205,   39,   39,   26,  -7,   7734,   1149,   3,   100,   0
6.9,   23,   4101,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   7760,   1149,   3,   101,   0
7,   24,   4094,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   7738,   1149,   3,   102,   0
7.1,   24,   4094,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   7767,   1149,   3,   102,   0
7.2,   25,   4098,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   8020,   1149,   3,   103,   0
7.3,   26,   4103,   4200,   4157,   4118,   3205,   39,   39,   26,  -9,   8030,   1149,   3,   104,   0
7.4,   27,   4094,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   8030,   1149,   3,   105,   0
7.5,   0,   4101,   4200,   4157,   4118,   3205,   39,   39,   26,  -7,   8032,   1149,   3,   106,   0
7.6,   1,   4109,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   8037,   1149,   3,   107,   0
7.7,   1,   4109,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   8028,   1149,   3,   107,   0
7.8,   2,   4116,   4200,   4157,   4118,   3205,   39,   39,   26,  -7,   8046,   1149,   3,   108,   0
7.9,   3,   4109,   4200,   4157,   4118,   3205,   37,   39,   26,  -9,   8014,   1149,   3,   109,   0
8,   4,   4114,   4200,   4157,   4118,   3205,   38,   39,   26,  -7,   8023,   1149,   3,   110,   0
8.1,   5,   4111,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   8290,   1149,   3,   111,   0
8.2,   6,   4100,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   8374,   1146,   3,   112,   0
8.3,   6,   4100,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   8355,   1146,   3,   112,   0
8.4,   7,   4091,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   8349,   1146,   3,   113,   0
8.5,   8,   4092,   4200,   4157,   4118,   3205,   39,   39,   26,  -9,   8346,   1146,   3,   114,   0
8.6,   9,   4097,   4200,   4157,   4118,   3205,   39,   39,   26,  -9,   8330,   1146,   3,   115,   0
8.7,   10,   4093,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   8339,   1146,   3,   116,   0
8.8,   11,   4098,   4200,   4157,   4118,   3205,   37,   39,   26,  -9,   8309,   1146,   3,   117,   0
8.9,   11,   4098,   4200,   4157,   4118,   3205,   37,   39,   26,  -9,   8357,   1146,   3,   117,   0
9,   12,   4128,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   8346,   1146,   3,   118,   0
9.1,   13,   4119,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   8665,   1146,   3,   119,   0
9.2,   14,   4117,   4200,   4157,   4118,   3205,   37,   39,   26,  -10,   8590,   1146,   3,   120,   0
9.3,   15,   4110,   4200,   4157,   4118,   3205,   39,   39,   26,  -10,   8616,   1146,   3,   121,   0
9.4,   16,   4120,   4200,   4157,   4118,   3205,   39,   39,   26,  -10,   8637,   1146,   3,   122,   0
9.5,   16,   4120,   4200,   4157,   4118,   3205,   39,   39,   26,  -10,   8623,   1146,   3,   122,   0
9.6,   17,   4114,   4200,   4157,   4118,   3205,   37,   39,   26,  -10,   8633,   1146,   3,   123,   0
9.7,   18,   4101,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   8632,   1146,   3,   124,   0
9.8,   19,   4099,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   8644,   1146,   4,   125,   0
9.9,   20,   4096,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   8659,   1146,   4,   126,   0
10,   21,   4100,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   8633,   1146,   4,   127,   0
10.1,   21,   4100,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   8914,   1146,   4,   128,   0
10.2,   22,   4101,   4200,   4157,   4118,   3205,   39,   39,   26,  -9,   8938,   1146,   4,   128,   0
10.3,   23,   4096,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   8913,   1146,   4,   130,   0
10.4,   24,   4090,   4200,   4157,   4118,   3205,   38,   39,   26,  -9,   8942,   1146,   4,   131,   0
10.5,   25,   4095,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   8928,   1146,   4,   131,   0
10.6,   26,   4100,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   8925,   1146,   4,   132,   0
10.7,   26,   4100,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   8935,   1146,   4,   133,   0
10.8,   27,   4090,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   8927,   1146,   4,   134,   0
10.9,   0,   4098,   4200,   4157,   4118,   3205,   39,   39,   26,  -9,   8955,   1146,   4,   135,   0
11,   1,   4106,   4200,   4157,   4118,   3205,   39,   39,   26,  -10,   8912,   1146,   4,   136,   1
11.1,   2,   4111,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   9267,   1146,   4,   137,   1
11.2,   2,   4111,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   9214,   1146,   4,   138,   1
11.3,   3,   4104,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   9232,   1146,   4,   139,   1
11.4,   4,   4109,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   9248,   1146,   4,   139,   1
11.5,   5,   4107,   4200,   4157,   4118,   3205,   38,   39,   26,  -10,   9212,   1146,   4,   140,   1
