Time, CellIndex, CellVscanning, CellVCutoffHigh, CellVmax, CellVmin, CellVCutoffLow, BalanceDelta, BalanceDeltaFromMinMax, HighestPackTemp, ISAcurrent, mtd1_output, ISAwattHours, ISAampSeconds, ISAampSecondsHB, ISAcAh,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1
Secs,nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu
0,   1,   3993,   4200,   4012,   3976,   3208,   37,   36,   27,   34,   1116,   326,   10559,   0,   292,   4,   9,   9,   9,   9,   9,   9,   9,   5,   14,   9,   9,   9,   9,   9,   24204,
.1,   2,   3999,   4200,   4012,   3976,   3208,   36,   36,   27,   19,   1116,   326,   10559,   0,   292,   0,  -66,  -66,  -66,  -66,  -66,   0,   0,  -28,  -25,   0,  -29,   0,   0,  -29,   11,
.2,   3,   3994,   4200,   4012,   3976,   3207,   36,   36,   27,   24,   1116,   326,   10559,   0,   292,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.3,   4,   3998,   4200,   4012,   3976,   3208,   36,   36,   27,   13,   1116,   326,   10559,   0,   292,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.4,   5,   3995,   4200,   4012,   3976,   3207,   36,   36,   27,   21,   1116,   326,   10559,   0,   292,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.5,   6,   3984,   4200,   4012,   3976,   3207,   37,   36,   27,   10,   1116,   326,   10559,   0,   292,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.6,   6,   3984,   4200,   4012,   3976,   3208,   37,   36,   27,   13,   1116,   326,   10559,   0,   292,  zTest0,  Acc_FF_Release_Rate_SpdM,  autouser5,  autouser49,  Acc_FF_Release_Rate_SpdM,  Interlock_Brake_Accel_Release_Rate_HS_SpdM,  Acc_FF_Release_Rate_SpdM,  Acc_FF_Release_Rate_SpdM,
.7,   7,   3977,   4200,   4012,   3976,   3207,   36,   36,   27,  -18,   1116,   326,   10559,   0,   292,   0,   1,   1,   1,   1,   1,   0,   0,   1,   1,   1,   1,   0,   0,   1,
.8,   8,   3976,   4200,   4012,   3976,   3207,   36,   36,   27,   4,   1116,   326,   10559,   0,   292,   16711935,   16711680,   0,   65535,   255,   0,   255,   16777215,   33023,   16776960,   65280,   65535,   16777215,   16744703,   16711808,
.9,   9,   3984,   4200,   4012,   3976,   3207,   36,   36,   27,   24,   1116,   326,   10559,   0,   292,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
1,   10,   3977,   4200,   4012,   3976,   3208,   36,   36,   27,  -3,   1116,   326,   10559,   0,   292
1.1,   11,   3984,   4200,   4012,   3976,   3208,   36,   36,   27,  -8,   1116,   326,   10559,   0,   292
1.2,   11,   3984,   4200,   4012,   3976,   3208,   36,   36,   27,   20,   1116,   326,   10559,   0,   292
1.3,   12,   4012,   4200,   4012,   3976,   3207,   36,   36,   27,   14,   1116,   326,   10559,   0,   292
1.4,   13,   4002,   4200,   4012,   3976,   3207,   36,   36,   27,   0,   1116,   326,   10559,   0,   292
1.5,   14,   4003,   4200,   4012,   3976,   3208,   36,   36,   27,  -5,   1116,   326,   10559,   0,   292
1.6,   15,   3996,   4200,   4012,   3976,   3208,   36,   36,   27,   7,   1116,   326,   10559,   0,   292
1.7,   16,   4007,   4200,   4012,   3976,   3208,   35,   36,   27,   14,   1116,   326,   10559,   0,   292
1.8,   16,   4007,   4200,   4012,   3976,   3207,   35,   36,   27,   24,   1116,   326,   10559,   0,   292
1.9,   17,   4001,   4200,   4012,   3976,   3207,   36,   36,   27,  -3,   1116,   326,   10559,   0,   292
2,   18,   3987,   4200,   4012,   3976,   3208,   36,   36,   27,  -1,   1116,   326,   10559,   0,   292
2.1,   19,   3988,   4200,   4012,   3976,   3208,   35,   36,   27,   1,   1116,   326,   10559,   0,   292
2.2,   20,   3983,   4200,   4012,   3976,   3207,   36,   36,   27,  -5,   1116,   326,   10559,   0,   292
2.3,   21,   3988,   4200,   4012,   3976,   3207,   35,   36,   27,   20,   1116,   326,   10559,   0,   292
2.4,   21,   3988,   4200,   4012,   3976,   3207,   35,   36,   27,  -20,   1116,   326,   10559,   0,   292
2.5,   22,   3988,   4200,   4012,   3976,   3207,   36,   36,   27,   9,   1116,   326,   10559,   0,   292
2.6,   23,   3984,   4200,   4012,   3976,   3207,   36,   36,   27,   18,   1116,   326,   10559,   0,   292
2.7,   24,   3982,   4200,   4012,   3976,   3207,   36,   36,   27,   9,   1116,   326,   10559,   0,   292
2.8,   25,   3983,   4200,   4012,   3976,   3208,   36,   36,   27,  -5,   1116,   326,   10559,   0,   292
2.9,   26,   3989,   4200,   4012,   3976,   3208,   36,   36,   27,   43,   1116,   326,   10559,   0,   292
3,   26,   3989,   4200,   4012,   3976,   3208,   36,   36,   27,   23,   1116,   326,   10559,   0,   292
3.1,   27,   3977,   4200,   4012,   3976,   3208,   35,   36,   27,   14,   1116,   326,   10559,   0,   292
3.2,   0,   3984,   4200,   4012,   3976,   3208,   35,   36,   27,   10,   1116,   326,   10559,   0,   292
3.3,   1,   3993,   4200,   4012,   3976,   3208,   36,   36,   27,   23,   1116,   326,   10559,   0,   292
3.4,   2,   3999,   4200,   4012,   3976,   3208,   35,   36,   27,   7,   1116,   326,   10559,   0,   292
3.5,   3,   3994,   4200,   4012,   3976,   3207,   35,   36,   27,  -5,   1116,   326,   10559,   0,   292
3.6,   4,   3998,   4200,   4012,   3976,   3207,   35,   36,   27,  -3,   1116,   326,   10559,   0,   292
3.7,   4,   3998,   4200,   4012,   3976,   3208,   35,   36,   27,  -2,   1116,   326,   10559,   0,   292
3.8,   5,   3995,   4200,   4012,   3976,   3208,   36,   36,   27,   10,   1116,   326,   10559,   0,   292
3.9,   6,   3984,   4200,   4012,   3976,   3208,   36,   36,   27,   24,   1116,   326,   10559,   0,   292
4,   7,   3977,   4200,   4012,   3976,   3208,   35,   36,   27,   13,   1116,   326,   10559,   0,   292
4.1,   8,   3977,   4200,   4012,   3976,   3208,   35,   36,   27,   25,   1116,   326,   10559,   0,   292
4.2,   9,   3984,   4200,   4012,   3976,   3208,   36,   36,   27,   3,   1116,   326,   10559,   0,   292
4.3,   9,   3984,   4200,   4012,   3976,   3208,   36,   36,   27,  -2,   1116,   326,   10559,   0,   292
4.4,   10,   3977,   4200,   4012,   3976,   3208,   36,   36,   27,   10,   1116,   326,   10559,   0,   292
4.5,   11,   3984,   4200,   4012,   3976,   3208,   36,   36,   27,   30,   1116,   326,   10559,   0,   292
4.6,   12,   4012,   4200,   4012,   3976,   3208,   37,   36,   28,  -6,   1116,   326,   10559,   0,   292
4.7,   13,   4002,   4200,   4012,   3976,   3208,   37,   36,   27,   24,   1116,   326,   10559,   0,   292
4.8,   13,   4002,   4200,   4012,   3976,   3208,   37,   36,   27,   18,   1116,   326,   10559,   0,   292
4.9,   14,   4004,   4200,   4012,   3976,   3208,   36,   36,   27,   23,   1116,   326,   10559,   0,   292
