Time, CellIndex, CellVscanning, CellVCutoffHigh, CellVmax, CellVmin, CellVCutoffLow, BalanceDelta, BalanceDeltaFromMinMax, HighestPackTemp, ISAcurrent, mtd1_output, ISAwattHours, ISAcAh,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1
Secs,nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu
0,   27,   3875,   4200,   3919,   3872,   3099,   47,   47,   33,   20,   1085,  -1855,  -1803,   4,   9,   9,   9,   9,   9,   9,   9,   5,   14,   9,   9,   9,   30107,
.1,   21,   3871,   4200,   3907,   3861,   3104,   45,   46,   34,   13,   1082,  -1848,  -1798,   0,  -66,  -66,  -66,  -66,  -66,   0,   0,  -28,  -25,   0,  -29,  -29,   13,
.2,   22,   3869,   4200,   3907,   3861,   3104,   45,   46,   34,  -1,   1082,  -1848,  -1798,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.3,   23,   3872,   4200,   3907,   3861,   3104,   46,   46,   34,   14,   1082,  -1848,  -1798,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.4,   23,   3872,   4200,   3907,   3861,   3104,   46,   46,   34,  -7,   1082,  -1848,  -1798,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.5,   24,   3907,   4200,   3907,   3861,   3104,   45,   46,   34,   14,   1082,  -1848,  -1798,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.6,   25,   3871,   4200,   3907,   3861,   3104,   45,   46,   34,   1,   1082,  -1848,  -1798,  Zero_Speed_Threshold,  Acc_FF_Release_Rate_SpdM,  autouser5,  autouser49,  Acc_FF_Release_Rate_SpdM,  Interlock_Brake_Accel_Release_Rate_HS_SpdM,  Acc_FF_Release_Rate_SpdM,  Acc_FF_Release_Rate_SpdM,
.7,   26,   3869,   4200,   3907,   3861,   3104,   45,   46,   34,  -14,   1082,  -1848,  -1798,   0,   1,   1,   1,   1,   1,   0,   0,   1,   1,   1,   1,   1,
.8,   27,   3865,   4200,   3907,   3861,   3104,   44,   46,   34,   24,   1082,  -1848,  -1798,   16711935,   16711680,   0,   65535,   255,   0,   255,   16777215,   33023,   16776960,   65280,   65535,   16711808,
.9,   0,   3861,   4200,   3907,   3861,   3103,   46,   46,   34,   13,   1082,  -1848,  -1798,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
1,   0,   3861,   4200,   3907,   3861,   3103,   46,   46,   34,  -20,   1082,  -1848,  -1798
