Time, CellIndex, CellVscanning, CellVCutoffHigh, CellVmax, CellVmin, CellVCutoffLow, BalanceDelta, BalanceDeltaFromMinMax, HighestPackTemp, ISAcurrent, mtd1_output, ISAwattHours, ISAcAh,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1
Secs,nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu
0,   20,   4099,   4200,   4100,   4080,   3109,   19,   20,   28,  -2,   1144,   108,   96,   4,   9,   9,   9,   9,   9,   9,   9,   5,   14,   9,   9,   9,   15477,
.1,   21,   4092,   4200,   4100,   4080,   3109,   20,   20,   28,  -9,   1144,   108,   96,   0,  -66,  -66,  -66,  -66,  -66,   0,   0,  -28,  -25,   0,  -29,  -29,   13,
.2,   22,   4098,   4200,   4100,   4080,   3109,   19,   20,   28,   16,   1144,   108,   96,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.3,   23,   4094,   4200,   4100,   4080,   3109,   19,   20,   28,  -8,   1144,   108,   96,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.4,   23,   4094,   4200,   4100,   4080,   3109,   19,   20,   28,   24,   1144,   108,   96,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.5,   24,   4080,   4200,   4100,   4080,   3109,   20,   20,   28,  -4,   1144,   108,   96,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.6,   25,   4099,   4200,   4100,   4080,   3109,   20,   20,   28,   23,   1144,   108,   96,  Zero_Speed_Threshold,  Acc_FF_Release_Rate_SpdM,  autouser5,  autouser49,  Acc_FF_Release_Rate_SpdM,  Interlock_Brake_Accel_Release_Rate_HS_SpdM,  Acc_FF_Release_Rate_SpdM,  Acc_FF_Release_Rate_SpdM,
.7,   26,   4094,   4200,   4100,   4080,   3109,   19,   20,   28,   8,   1144,   108,   96,   0,   1,   1,   1,   1,   1,   0,   0,   1,   1,   1,   1,   1,
.8,   27,   4097,   4200,   4100,   4080,   3109,   19,   20,   28,   33,   1144,   108,   96,   16711935,   16711680,   0,   65535,   255,   0,   255,   16777215,   33023,   16776960,   65280,   65535,   16711808,
.9,   0,   4094,   4200,   4100,   4080,   3109,   19,   20,   28,   1,   1144,   108,   96,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
1,   0,   4094,   4200,   4100,   4080,   3109,   19,   20,   28,  -18,   1144,   108,   96
1.1,   1,   4091,   4200,   4100,   4080,   3109,   20,   20,   28,   14,   1144,   108,   96
1.2,   2,   4097,   4200,   4100,   4080,   3109,   20,   20,   28,   15,   1144,   108,   96
1.3,   3,   4099,   4200,   4100,   4080,   3109,   19,   20,   28,   18,   1144,   108,   96
1.4,   4,   4094,   4200,   4100,   4080,   3109,   19,   20,   28,   27,   1144,   108,   96
1.5,   5,   4096,   4200,   4100,   4080,   3109,   19,   20,   28,   20,   1144,   108,   96
1.6,   6,   4089,   4200,   4100,   4080,   3109,   19,   20,   28,   1,   1144,   108,   96
1.7,   6,   4089,   4200,   4100,   4080,   3109,   19,   20,   28,   0,   1144,   108,   96
1.8,   7,   4091,   4200,   4100,   4080,   3109,   20,   20,   28,   3,   1144,   108,   96
1.9,   8,   4094,   4200,   4100,   4080,   3109,   20,   20,   28,   21,   1144,   108,   96
2,   9,   4089,   4200,   4100,   4080,   3109,   19,   20,   28,  -4,   1144,   108,   96
2.1,   10,   4095,   4200,   4100,   4080,   3109,   19,   20,   28,  -10,   1144,   108,   96
2.2,   11,   4093,   4200,   4100,   4080,   3109,   19,   20,   28,   36,   1144,   108,   96
2.3,   11,   4093,   4200,   4100,   4080,   3109,   19,   20,   28,   11,   1144,   108,   96
2.4,   12,   4094,   4200,   4100,   4080,   3109,   19,   20,   28,   14,   1144,   108,   96
2.5,   13,   4095,   4200,   4100,   4080,   3109,   20,   20,   28,   5,   1144,   108,   96
2.6,   5,   4096,   4200,   4100,   4080,   3109,   19,   20,   28,  -7,   1144,   108,   96
2.7,   6,   4089,   4200,   4100,   4080,   3109,   20,   20,   28,   1,   1144,   108,   96
2.8,   6,   4089,   4200,   4100,   4080,   3109,   20,   20,   28,   10,   1144,   108,   96
2.9,   7,   4090,   4200,   4100,   4080,   3109,   19,   20,   28,   8,   1144,   108,   96
3,   8,   4094,   4200,   4100,   4080,   3109,   19,   20,   28,  -22,   1144,   108,   96
3.1,   9,   4089,   4200,   4100,   4080,   3109,   20,   20,   28,   16,   1144,   108,   96
3.2,   10,   4096,   4200,   4100,   4080,   3109,   19,   20,   28,   18,   1144,   108,   96
3.3,   10,   4096,   4200,   4100,   4080,   3109,   19,   20,   28,   0,   1144,   108,   96
3.4,   11,   4093,   4200,   4100,   4080,   3109,   19,   20,   28,  -11,   1144,   108,   96
3.5,   12,   4094,   4200,   4100,   4080,   3109,   19,   20,   28,   11,   1144,   108,   96
3.6,   13,   4095,   4200,   4100,   4080,   3109,   19,   20,   28,   30,   1144,   108,   96
3.7,   14,   4098,   4200,   4100,   4080,   3109,   19,   20,   28,  -1,   1144,   108,   96
3.8,   15,   4095,   4200,   4100,   4080,   3109,   19,   20,   28,   14,   1144,   108,   96
3.9,   15,   4095,   4200,   4100,   4080,   3109,   19,   20,   28,   8,   1144,   108,   96
4,   16,   4099,   4200,   4100,   4080,   3109,   19,   20,   28,   21,   1144,   108,   96
4.1,   17,   4100,   4200,   4100,   4080,   3109,   19,   20,   28,  -13,   1144,   108,   96
4.2,   18,   4096,   4200,   4100,   4080,   3109,   21,   20,   28,   12,   1144,   108,   96
4.3,   19,   4100,   4200,   4100,   4080,   3109,   20,   20,   27,   11,   1144,   108,   96
4.4,   19,   4100,   4200,   4100,   4080,   3109,   20,   20,   27,   26,   1144,   108,   96
4.5,   20,   4098,   4200,   4100,   4080,   3109,   19,   20,   28,  -6,   1144,   108,   96
4.6,   21,   4093,   4200,   4100,   4080,   3109,   19,   20,   28,   33,   1144,   108,   96
4.7,   22,   4097,   4200,   4100,   4080,   3109,   19,   20,   28,   17,   1144,   108,   96
4.8,   23,   4094,   4200,   4100,   4080,   3109,   20,   20,   28,   0,   1144,   108,   96
4.9,   23,   4094,   4200,   4100,   4080,   3109,   20,   20,   28,  -18,   1144,   108,   96
5,   24,   4080,   4200,   4100,   4080,   3109,   20,   20,   28,  -2,   1144,   108,   96
5.1,   25,   4099,   4200,   4100,   4080,   3109,   20,   20,   28,   20,   1144,   108,   96
5.2,   26,   4094,   4200,   4100,   4080,   3109,   20,   20,   28,  -7,   1144,   108,   96
5.3,   27,   4097,   4200,   4100,   4080,   3109,   19,   20,   28,  -3,   1144,   108,   96
5.4,   0,   4094,   4200,   4100,   4080,   3109,   20,   20,   28,  -11,   1144,   108,   96
5.5,   0,   4094,   4200,   4100,   4080,   3109,   20,   20,   28,   8,   1144,   108,   96
5.6,   1,   4091,   4200,   4100,   4080,   3109,   20,   20,   28,   11,   1144,   108,   96
5.7,   2,   4096,   4200,   4100,   4080,   3109,   20,   20,   28,  -1,   1144,   108,   96
5.8,   3,   4099,   4200,   4100,   4080,   3109,   19,   20,   28,   1,   1144,   108,   96
5.9,   4,   4094,   4200,   4100,   4080,   3109,   20,   20,   28,   9,   1144,   108,   96
6,   5,   4096,   4200,   4100,   4080,   3109,   19,   20,   28,  -7,   1144,   108,   96
6.1,   5,   4096,   4200,   4100,   4080,   3109,   19,   20,   28,  -16,   1144,   108,   96
6.2,   6,   4089,   4200,   4100,   4080,   3109,   20,   20,   28,   13,   1144,   108,   96
6.3,   7,   4091,   4200,   4100,   4080,   3109,   19,   20,   27,   24,   1144,   108,   96
6.4,   8,   4094,   4200,   4100,   4080,   3109,   19,   20,   27,   2,   1144,   108,   96
6.5,   9,   4090,   4200,   4100,   4080,   3109,   19,   20,   27,  -12,   1144,   108,   96
6.6,   10,   4095,   4200,   4100,   4080,   3109,   20,   20,   27,   5,   1144,   108,   96
6.7,   10,   4095,   4200,   4100,   4080,   3109,   20,   20,   27,   14,   1144,   108,   96
6.8,   11,   4093,   4200,   4100,   4080,   3109,   19,   20,   27,  -2,   1144,   108,   96
6.9,   12,   4094,   4200,   4100,   4080,   3109,   19,   20,   27,   13,   1144,   108,   96
7,   13,   4095,   4200,   4100,   4080,   3109,   20,   20,   27,  -4,   1144,   108,   96
7.1,   14,   4098,   4200,   4100,   4080,   3109,   20,   20,   27,   7,   1144,   108,   96
7.2,   14,   4098,   4200,   4100,   4080,   3109,   20,   20,   27,   0,   1144,   108,   96
7.3,   15,   4096,   4200,   4100,   4080,   3109,   20,   20,   27,   16,   1144,   108,   96
7.4,   16,   4099,   4200,   4100,   4080,   3109,   20,   20,   28,  -7,   1144,   108,   96
7.5,   17,   4100,   4200,   4100,   4080,   3109,   20,   20,   28,  -6,   1144,   108,   96
7.6,   18,   4095,   4200,   4100,   4080,   3109,   20,   20,   28,   11,   1144,   108,   96
7.7,   18,   4095,   4200,   4100,   4080,   3109,   20,   20,   28,   2,   1144,   108,   96
7.8,   19,   4100,   4200,   4100,   4080,   3109,   19,   20,   28,   18,   1144,   108,   96
7.9,   20,   4099,   4200,   4100,   4080,   3109,   20,   20,   28,   8,   1144,   108,   96
8,   21,   4093,   4200,   4100,   4080,   3109,   19,   20,   28,   786,   1144,   108,   96
8.1,   22,   4096,   4200,   4100,   4080,   3109,   20,   20,   28,   151,   1144,   108,   96
8.2,   23,   4094,   4200,   4100,   4080,   3109,   20,   20,   28,   63,   1144,   108,   96
8.3,   23,   4094,   4200,   4100,   4080,   3109,   20,   20,   28,   33,   1144,   108,   96
8.4,   24,   4080,   4200,   4100,   4080,   3109,   20,   20,   28,   1624,   1144,   108,   96
8.5,   25,   4087,   4200,   4100,   4080,   3109,   21,   20,   28,   21,   1141,   108,   96
8.6,   26,   4094,   4200,   4100,   4080,   3109,   20,   20,   28,   43,   1144,   108,   96
8.7,   27,   4096,   4200,   4100,   4080,   3109,   20,   20,   28,  -2,   1144,   108,   96
8.8,   0,   4092,   4200,   4100,   4080,   3109,   20,   20,   28,   2211,   1144,   108,   96
8.9,   0,   4092,   4200,   4099,   4089,   3109,   20,   10,   28,   18,   1144,   108,   96
9,   1,   4091,   4200,   4099,   4089,   3109,   20,   10,   28,   11,   1144,   108,   96
9.1,   2,   4092,   4200,   4099,   4089,   3109,   19,   10,   28,   1208,   1144,   108,   96
9.2,   3,   4099,   4200,   4099,   4089,   3109,   20,   10,   28,   55,   1144,   108,   96
9.3,   4,   4094,   4200,   4099,   4089,   3109,   20,   10,   28,   112,   1144,   108,   96
9.4,   5,   4091,   4200,   4099,   4089,   3109,   20,   10,   28,   2016,   1144,   108,   96
9.5,   5,   4091,   4200,   4099,   4089,   3109,   20,   10,   28,   6410,   1144,   108,   96
9.6,   6,   4075,   4200,   4099,   4089,   3109,   20,   10,   28,   6766,   1141,   108,   96
9.7,   7,   4077,   4200,   4099,   4089,   3109,   20,   10,   28,   6755,   1141,   108,   96
9.8,   8,   4080,   4200,   4099,   4089,   3109,   20,   10,   28,   6769,   1141,   108,   96
9.9,   9,   4075,   4200,   4099,   4089,   3109,   21,   10,   28,   6763,   1141,   108,   96
10,   10,   4083,   4200,   4099,   4089,   3109,   20,   10,   28,   6761,   1141,   109,   96
10.1,   10,   4083,   4200,   4099,   4089,   3109,   20,   10,   28,   6764,   1141,   109,   96
10.2,   11,   4079,   4200,   4099,   4089,   3109,   20,   10,   27,   6755,   1141,   109,   96
10.3,   12,   4080,   4200,   4099,   4089,   3109,   21,   10,   28,   6758,   1141,   109,   96
10.4,   13,   4081,   4200,   4099,   4089,   3109,   21,   10,   28,   6748,   1141,   109,   96
10.5,   14,   4083,   4200,   4099,   4089,   3109,   20,   10,   28,   6754,   1141,   109,   96
10.6,   15,   4081,   4200,   4099,   4089,   3109,   20,   10,   28,   6747,   1141,   109,   96
10.7,   15,   4081,   4200,   4099,   4089,   3109,   20,   10,   28,   6767,   1141,   109,   96
10.8,   16,   4084,   4200,   4099,   4089,   3109,   20,   10,   28,   6745,   1141,   109,   96
10.9,   17,   4085,   4200,   4099,   4089,   3109,   20,   10,   27,   6767,   1141,   109,   96
11,   18,   4079,   4200,   4099,   4089,   3109,   20,   10,   28,   6752,   1141,   109,   96
11.1,   19,   4084,   4200,   4099,   4089,   3109,   20,   10,   28,   6771,   1141,   109,   96
11.2,   19,   4084,   4200,   4099,   4089,   3109,   20,   10,   28,   6735,   1141,   109,   96
11.3,   20,   4082,   4200,   4099,   4089,   3109,   20,   10,   27,   6738,   1141,   109,   96
11.4,   21,   4076,   4200,   4099,   4089,   3109,   20,   10,   28,   6742,   1141,   109,   96
11.5,   22,   4081,   4200,   4099,   4089,   3109,   20,   10,   28,   6756,   1141,   109,   96
11.6,   23,   4078,   4200,   4099,   4089,   3109,   20,   10,   28,   6737,   1141,   109,   96
11.7,   23,   4078,   4200,   4099,   4089,   3109,   20,   10,   28,   6752,   1141,   109,   96
11.8,   24,   4064,   4200,   4099,   4089,   3109,   21,   10,   28,   6742,   1141,   109,   96
11.9,   25,   4084,   4200,   4099,   4089,   3109,   21,   10,   27,   6780,   1141,   109,   96
12,   26,   4078,   4200,   4099,   4089,   3109,   21,   10,   28,   6759,   1141,   109,   96
12.1,   27,   4080,   4200,   4099,   4089,   3109,   21,   10,   28,   6756,   1141,   109,   96
12.2,   27,   4080,   4200,   4099,   4089,   3109,   21,   10,   28,   6740,   1141,   109,   96
12.3,   0,   4078,   4200,   4099,   4089,   3109,   21,   10,   27,   6776,   1141,   109,   96
12.4,   1,   4074,   4200,   4099,   4089,   3109,   20,   10,   27,   6755,   1141,   109,   96
12.5,   2,   4080,   4200,   4099,   4089,   3109,   20,   10,   27,   6738,   1141,   109,   96
12.6,   2,   4080,   4200,   4099,   4089,   3109,   20,   10,   27,   6745,   1141,   109,   96
12.7,   3,   4082,   4200,   4099,   4089,   3109,   20,   10,   27,   6759,   1141,   109,   96
12.8,   4,   4077,   4200,   4099,   4089,   3109,   20,   10,   27,   6762,   1141,   109,   96
12.9,   5,   4079,   4200,   4099,   4089,   3109,   20,   10,   27,   6729,   1141,   109,   97
13,   6,   4072,   4200,   4099,   4089,   3109,   20,   10,   27,   6750,   1141,   109,   97
13.1,   7,   4073,   4200,   4099,   4089,   3109,   20,   10,   27,   6757,   1139,   109,   97
13.2,   7,   4073,   4200,   4099,   4089,   3109,   20,   10,   27,   6751,   1139,   109,   97
13.3,   8,   4077,   4200,   4099,   4089,   3109,   20,   10,   27,   6774,   1139,   109,   97
13.4,   9,   4072,   4200,   4099,   4089,   3109,   21,   10,   28,   6728,   1139,   109,   97
13.5,   10,   4080,   4200,   4099,   4089,   3109,   21,   10,   27,   6760,   1139,   109,   97
13.6,   11,   4076,   4200,   4099,   4089,   3109,   20,   10,   28,   6779,   1139,   109,   97
13.7,   11,   4076,   4200,   4099,   4089,   3109,   20,   10,   28,   6740,   1139,   109,   97
13.8,   12,   4077,   4200,   4099,   4089,   3109,   20,   10,   28,   6744,   1139,   109,   97
13.9,   13,   4078,   4200,   4099,   4089,   3109,   21,   10,   28,   6741,   1139,   109,   97
14,   14,   4080,   4200,   4099,   4089,   3109,   20,   10,   28,   6720,   1139,   109,   97
14.1,   15,   4078,   4200,   4099,   4089,   3109,   20,   10,   28,   6688,   1139,   109,   97
14.2,   16,   4081,   4200,   4099,   4089,   3109,   20,   10,   28,   6718,   1139,   109,   97
14.3,   16,   4081,   4200,   4099,   4089,   3109,   20,   10,   28,   6715,   1139,   109,   97
