Time, CellIndex, CellVscanning, CellVCutoffHigh, CellVmax, CellVmin, CellVCutoffLow, BalanceDelta, BalanceDeltaFromMinMax, HighestPackTemp, ISAcurrent, mtd1_output, ISAwattHours, ISAcAh,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1
Secs,nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu, nu
0,   3,   4160,   4200,   4171,   4154,   3104,   17,   17,   28,  -773,   1164,  -416,  -403,   4,   9,   9,   9,   9,   9,   9,   9,   5,   14,   9,   9,   9,   38684,
.1,   23,   4159,   4200,   4165,   0,   3104,   17,   4165,   28,   15,   1162,   0,   0,   0,  -66,  -66,  -66,  -66,  -66,   0,   0,  -28,  -25,   0,  -29,  -29,   13,
.2,   24,   4157,   4200,   4165,   0,   3104,   16,   4165,   28,   14,   1162,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.3,   25,   4153,   4200,   4165,   0,   3104,   16,   4165,   28,   17,   1162,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.4,   25,   4153,   4200,   4165,   0,   3104,   16,   4165,   28,  -2,   1162,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.5,   26,   4165,   4200,   4165,   0,   3104,   17,   4165,   28,   1,   1162,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
.6,   27,   4157,   4200,   4165,   0,   3104,   16,   4165,   28,   1,   1162,   0,   0,  Zero_Speed_Threshold,  Acc_FF_Release_Rate_SpdM,  autouser5,  autouser49,  Acc_FF_Release_Rate_SpdM,  Interlock_Brake_Accel_Release_Rate_HS_SpdM,  Acc_FF_Release_Rate_SpdM,  Acc_FF_Release_Rate_SpdM,
.7,   0,   4158,   4200,   4168,   4152,   3104,   16,   16,   28,   22,   1162,   0,   0,   0,   1,   1,   1,   1,   1,   0,   0,   1,   1,   1,   1,   1,
.8,   1,   4159,   4200,   4168,   4152,   3104,   17,   16,   28,   5,   1162,   0,   0,   16711935,   16711680,   0,   65535,   255,   0,   255,   16777215,   33023,   16776960,   65280,   65535,   16711808,
.9,   2,   4160,   4200,   4168,   4152,   3104,   16,   16,   28,   1,   1162,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
1,   2,   4160,   4200,   4168,   4152,   3104,   16,   16,   28,   8,   1162,   0,   0
1.1,   3,   4158,   4200,   4168,   4152,   3104,   17,   16,   28,  -10,   1162,   0,   0
1.2,   4,   4156,   4200,   4168,   4152,   3104,   16,   16,   28,   12,   1162,   0,   0
1.3,   5,   4160,   4200,   4168,   4152,   3104,   17,   16,   28,   10,   1162,   0,   0
1.4,   6,   4153,   4200,   4168,   4152,   3104,   16,   16,   28,   31,   1162,   0,   0
1.5,   7,   4168,   4200,   4168,   4152,   3104,   16,   16,   28,   1,   1162,   0,   0
1.6,   7,   4168,   4200,   4168,   4152,   3104,   16,   16,   28,   31,   1162,   0,   0
